National Center for Education Statistics,,,,,,,,,
,,,,,,,,,
2022 NAEP Long-Term Trend Age 09 Reading Assessment: COVID Related Survey Questionnaire Results,,,,,,,,,
,,,,,,,,,
NAEPID,AccNum,Category,Category Label,Percent,PCT SE ,Average score,Score SE,Survey Question Description,Flag
 TOTAL  ,TOTAL  ,1,TOTAL,100,---,215,0.96,TOTAL STUDENT POPULATION                          ,
 CV00001 ,VR233341,1,Yes     ,70,0.96,220,1.08,"During last schl yr, did you ever attend remotely ", 
 CV00001 ,VR233341,2,No      ,19,0.86,211,1.77,"During last schl yr, did you ever attend remotely ", 
 CV00001 ,VR233341,3,DontRemb,11,0.50,200,2.19,"During last schl yr, did you ever attend remotely ", 
 CV00001 ,VR233341,4, MISSING,5,0.56,191,5.25,                                           MISSING, 
 CV00101 ,VR233349,1,This sch,85,0.64,221,1.06,"During last schl yr, which school did you attend  ",!
 CV00101 ,VR233349,2,Diff sch,15,0.64,213,2.42,"During last schl yr, which school did you attend  ",!
 CV00101 ,VR233349,3, MISSING,35,1.06,204,1.56,                                           MISSING,!
 CV00201 ,VR233416,1,All time,43,0.92,221,1.34,Remote: Access to high-speed internet             ,!
 CV00201 ,VR233416,2,SomeTime,38,0.86,229,1.36,Remote: Access to high-speed internet             ,!
 CV00201 ,VR233416,3,NotAvail,5,0.37,211,2.98,Remote: Access to high-speed internet             ,!
 CV00201 ,VR233416,4,DontRemb,13,0.64,211,2.71,Remote: Access to high-speed internet             ,!
 CV00201 ,VR233416,5, MISSING,38,1.08,202,1.49,                                           MISSING,!
 CV00202 ,VR233417,1,All time,73,0.93,229,1.09,"Remote: desktop, laptop or tablet                 ",!
 CV00202 ,VR233417,2,SomeTime,19,0.70,215,1.81,"Remote: desktop, laptop or tablet                 ",!
 CV00202 ,VR233417,3,NotAvail,4,0.32,198,3.99,"Remote: desktop, laptop or tablet                 ",!
 CV00202 ,VR233417,4,DontRemb,4,0.37,194,4.07,"Remote: desktop, laptop or tablet                 ",!
 CV00202 ,VR233417,5, MISSING,40,1.10,201,1.46,                                           MISSING,!
