NAEPID,AccNum,Category,Category Label,Percent,PCT SE ,Average score,Score SE
TOTAL  , TOTAL   , 1, TOTAL   , 100, 0.0 , 234, 1.17
CV00001, VR233341, 1, Yes     ,  70, 0.94, 240, 1.26
CV00001, VR233341, 2, No      ,  19, 0.81, 231, 1.70
CV00001, VR233341, 3, DontRemb,  11, 0.53, 218, 2.19
CV00001, VR233341, 4, MISSING ,   6, 0.66, 207, 5.20
CV00101, VR233349, 1, This sch,  85, 0.91, 241, 1.31
CV00101, VR233349, 2, Diff sch,  15, 0.91, 231, 3.00
CV00101, VR233349, 3, MISSING ,  35, 1.01, 223, 1.56
CV00201, VR233416, 1, All time,  44, 0.89, 240, 1.71
CV00201, VR233416, 2, SomeTime,  38, 1.10, 248, 1.39
CV00201, VR233416, 3, NotAvail,   5, 0.37, 232, 3.53
CV00201, VR233416, 4, DontRemb,  14, 0.67, 236, 1.79
CV00201, VR233416, 5, MISSING ,  40, 1.03, 221, 1.50
CV00202, VR233417, 1, All time,  73, 0.91, 248, 1.22
CV00202, VR233417, 2, SomeTime,  18, 0.58, 237, 1.70
CV00202, VR233417, 3, NotAvail,   5, 0.49, 221, 2.94
CV00202, VR233417, 4, DontRemb,   4, 0.34, 223, 3.08
CV00202, VR233417, 5, MISSING ,  41, 1.01, 220, 1.53
CV00203, VR233418, 1, All time,  33, 0.94, 237, 1.24
CV00203, VR233418, 2, SomeTime,  17, 0.66, 245, 1.84
CV00203, VR233418, 3, NotAvail,  41, 0.80, 250, 1.53
CV00203, VR233418, 4, DontRemb,   9, 0.48, 236, 2.49
CV00204, VR233419, 1, All time,  37, 1.20, 252, 1.94
CV00203, VR233418, 5, MISSING ,  42, 1.06, 221, 1.54
CV00204, VR233419, 3, NotAvail,  33, 0.98, 235, 1.31
CV00204, VR233419, 2, SomeTime,  21, 0.73, 251, 1.44
CV00204, VR233419, 5, MISSING ,  44, 1.07, 220, 1.50
CV00204, VR233419, 4, DontRemb,   9, 0.46, 235, 1.90
CV00205, VR233420, 2, SomeTime,  11, 0.56, 242, 2.05
CV00205, VR233420, 1, All time,  83, 0.76, 247, 1.14
CV00205, VR233420, 4, DontRemb,   3, 0.34, 223, 3.88
CV00205, VR233420, 3, NotAvail,   3, 0.33, 209, 5.42
CV00206, VR233421, 1, All time,  44, 0.83, 243, 1.52
CV00205, VR233420, 5, MISSING ,  44, 1.07, 220, 1.49
CV00206, VR233421, 3, NotAvail,  12, 0.58, 237, 2.12
CV00206, VR233421, 2, SomeTime,  41, 0.83, 250, 1.39
CV00206, VR233421, 5, MISSING ,  43, 1.08, 220, 1.45
CV00206, VR233421, 4, DontRemb,   4, 0.31, 219, 4.82
CV00401, VR233431, 2, 1-2/mnth,   9, 0.47, 235, 2.31
CV00401, VR233431, 1, Never   ,  17, 0.67, 233, 1.92
CV00401, VR233431, 4, EveryDay,  38, 1.10, 248, 1.57
CV00401, VR233431, 3, 1-2/week,  13, 0.64, 245, 1.84
CV00401, VR233431, 6, MISSING ,  38, 1.01, 222, 1.58
CV00401, VR233431, 5, DontRemb,  23, 0.65, 236, 1.53
CV00402, VR233432, 2, 1-2/mnth,  14, 0.54, 239, 2.11
CV00402, VR233432, 1, Never   ,  35, 0.99, 245, 1.63
CV00402, VR233432, 4, EveryDay,  19, 0.59, 238, 1.69
CV00402, VR233432, 3, 1-2/week,  19, 0.83, 249, 2.16
CV00402, VR233432, 6, MISSING ,  39, 1.08, 221, 1.54
CV00402, VR233432, 5, DontRemb,  13, 0.62, 236, 1.74
CV00403, VR233433, 2, 1-2/mnth,  22, 0.71, 248, 1.65
CV00403, VR233433, 1, Never   ,  20, 0.89, 239, 1.89
CV00403, VR233433, 4, EveryDay,  16, 0.59, 236, 2.04
CV00403, VR233433, 3, 1-2/week,  25, 1.09, 249, 1.70
CV00403, VR233433, 6, MISSING ,  40, 1.04, 221, 1.64
CV00403, VR233433, 5, DontRemb,  18, 0.68, 237, 1.95
CV00501, VR233342, 2, SomeDiff,  31, 0.91, 252, 1.25
CV00501, VR233342, 1, Lot diff,  36, 0.96, 235, 1.41
CV00501, VR233342, 4, Lot easy,  15, 0.68, 230, 2.22
CV00501, VR233342, 3, SomeEasy,  19, 0.61, 241, 1.79
CV00601, VR251057, 1, Never   ,  19, 0.68, 240, 2.47
CV00501, VR233342, 5, MISSING ,  36, 1.04, 222, 1.57
CV00601, VR251057, 3, 1-2/week,  19, 0.60, 249, 1.63
CV00601, VR251057, 2, 1-2/mnth,  12, 0.42, 242, 2.26
CV00601, VR251057, 5, DontRemb,  13, 0.55, 234, 2.11
CV00601, VR251057, 4, EveryDay,  37, 0.98, 238, 1.38
CV00701, VR233460, 1, Yes     ,  79, 0.83, 242, 1.32
CV00601, VR251057, 6, MISSING ,  37, 1.05, 223, 1.50
CV00701, VR233460, 3, MISSING ,  39, 1.05, 222, 1.48
CV00701, VR233460, 2, No      ,  21, 0.83, 239, 1.76
CV00702, VR233463, 2, No      ,  42, 0.97, 241, 1.47
CV00702, VR233463, 1, Yes     ,  58, 0.97, 246, 1.26
CV00703, VR233466, 1, Yes     ,  43, 1.00, 236, 1.44
CV00702, VR233463, 3, MISSING ,  44, 1.11, 221, 1.46
