TOTAL  , TOTAL   , 1, TOTAL   , 100, 0.0 , 215, 0.96
CV00001, VR233341, 1, Yes     ,  70, 0.96, 220, 1.08
CV00001, VR233341, 2, No      ,  19, 0.86, 211, 1.77
CV00001, VR233341, 3, DontRemb,  11, 0.50, 200, 2.19
CV00001, VR233341, 4, MISSING ,   5, 0.56, 191, 5.25
CV00101, VR233349, 1, This sch,  85, 0.64, 221, 1.06
CV00101, VR233349, 2, Diff sch,  15, 0.64, 213, 2.42
CV00101, VR233349, 3, MISSING ,  35, 1.06, 204, 1.56
CV00201, VR233416, 1, All time,  43, 0.92, 221, 1.34
CV00201, VR233416, 2, SomeTime,  38, 0.86, 229, 1.36
CV00201, VR233416, 3, NotAvail,   5, 0.37, 211, 2.98
CV00201, VR233416, 4, DontRemb,  13, 0.64, 211, 2.71
CV00201, VR233416, 5, MISSING ,  38, 1.08, 202, 1.49
CV00202, VR233417, 1, All time,  73, 0.93, 229, 1.09
CV00202, VR233417, 2, SomeTime,  19, 0.70, 215, 1.81
CV00202, VR233417, 3, NotAvail,   4, 0.32, 198, 3.99
CV00202, VR233417, 4, DontRemb,   4, 0.37, 194, 4.07
CV00202, VR233417, 5, MISSING ,  40, 1.10, 201, 1.46
CV00203, VR233418, 1, All time,  32, 0.98, 218, 1.39
CV00203, VR233418, 2, SomeTime,  18, 0.66, 223, 1.73
CV00203, VR233418, 3, NotAvail,  41, 1.22, 233, 1.33
CV00203, VR233418, 4, DontRemb,   9, 0.56, 211, 2.82
CV00203, VR233418, 5, MISSING ,  41, 1.12, 201, 1.45
CV00204, VR233419, 1, All time,  38, 1.01, 230, 1.63
CV00204, VR233419, 2, SomeTime,  21, 0.78, 227, 1.54
CV00204, VR233419, 3, NotAvail,  32, 0.95, 222, 1.32
CV00204, VR233419, 4, DontRemb,  10, 0.65, 208, 2.94
CV00204, VR233419, 5, MISSING ,  42, 1.10, 201, 1.40
CV00205, VR233420, 1, All time,  84, 0.88, 228, 1.04
CV00205, VR233420, 2, SomeTime,  11, 0.63, 216, 2.44
CV00205, VR233420, 3, NotAvail,   3, 0.27, 186, 6.49
CV00205, VR233420, 4, DontRemb,   3, 0.32, 193, 4.90
CV00205, VR233420, 5, MISSING ,  42, 1.15, 200, 1.39
CV00206, VR233421, 1, All time,  45, 1.01, 225, 1.28
CV00206, VR233421, 2, SomeTime,  40, 0.92, 230, 1.27
CV00206, VR233421, 3, NotAvail,  12, 0.57, 212, 1.93
CV00206, VR233421, 4, DontRemb,   4, 0.32, 194, 5.53
CV00206, VR233421, 5, MISSING ,  41, 1.10, 200, 1.44
CV00301, VR233428, 1, Never   ,  16, 0.67, 214, 2.06
CV00301, VR233428, 2, 1-2/mnth,   9, 0.48, 212, 2.95
CV00301, VR233428, 3, 1-2/week,  12, 0.55, 222, 2.62
CV00301, VR233428, 4, EveryDay,  37, 1.17, 230, 1.33
CV00301, VR233428, 5, DontRemb,  26, 0.77, 217, 1.47
CV00301, VR233428, 6, MISSING ,  37, 1.11, 203, 1.50
CV00302, VR233429, 1, Never   ,  33, 1.16, 224, 1.51
CV00302, VR233429, 2, 1-2/mnth,  13, 0.57, 221, 2.42
CV00302, VR233429, 3, 1-2/week,  20, 0.97, 228, 2.28
CV00302, VR233429, 4, EveryDay,  17, 0.71, 219, 1.63
CV00302, VR233429, 5, DontRemb,  16, 0.75, 217, 2.19
CV00302, VR233429, 6, MISSING ,  38, 1.10, 202, 1.47
CV00303, VR233430, 1, Never   ,  23, 0.90, 218, 1.69
CV00303, VR233430, 2, 1-2/mnth,  21, 0.80, 228, 1.90
CV00303, VR233430, 3, 1-2/week,  22, 0.93, 230, 1.37
CV00303, VR233430, 4, EveryDay,  14, 0.70, 220, 2.16
CV00303, VR233430, 5, DontRemb,  20, 0.79, 216, 2.02
CV00303, VR233430, 6, MISSING ,  39, 1.11, 201, 1.46
CV00501, VR233342, 1, Lot diff,  36, 0.80, 215, 1.32
CV00501, VR233342, 2, SomeDiff,  30, 0.75, 232, 1.58
CV00501, VR233342, 3, SomeEasy,  19, 0.51, 224, 1.96
CV00501, VR233342, 4, Lot easy,  15, 0.59, 209, 2.05
CV00501, VR233342, 5, MISSING ,  36, 1.08, 203, 1.52
CV00601, VR251057, 1, Never   ,  20, 0.56, 219, 1.88
CV00601, VR251057, 2, 1-2/mnth,  12, 0.67, 227, 2.44
CV00601, VR251057, 3, 1-2/week,  20, 0.73, 227, 1.59
CV00601, VR251057, 4, EveryDay,  36, 0.99, 218, 1.45
CV00601, VR251057, 5, DontRemb,  13, 0.59, 216, 2.61
CV00601, VR251057, 6, MISSING ,  36, 1.07, 204, 1.53
CV00701, VR233460, 1, Yes     ,  78, 0.72, 223, 1.15
CV00701, VR233460, 2, No      ,  22, 0.72, 216, 1.83
CV00701, VR233460, 3, MISSING ,  39, 1.05, 204, 1.46
CV00702, VR233463, 1, Yes     ,  59, 0.74, 226, 1.28
CV00702, VR233463, 2, No      ,  41, 0.74, 219, 1.49
CV00702, VR233463, 3, MISSING ,  43, 1.05, 203, 1.43
CV00703, VR233466, 1, Yes     ,  43, 1.00, 215, 1.47
CV00703, VR233466, 2, No      ,  57, 1.00, 229, 1.18
CV00703, VR233466, 3, MISSING ,  43, 1.07, 203, 1.42
CV00704, VR233467, 1, Yes     ,  35, 1.10, 219, 1.56
CV00704, VR233467, 2, No      ,  65, 1.10, 227, 1.21
CV00704, VR233467, 3, MISSING ,  44, 1.08, 203, 1.40
CV00801, VR233442, 1, Def cant,   6, 0.38, 182, 2.58
CV00801, VR233442, 2, ProbCant,   6, 0.30, 199, 2.33
CV00801, VR233442, 3, Maybe   ,  39, 0.67, 213, 1.01
CV00801, VR233442, 4, Prob Can,  26, 0.53, 229, 1.36
CV00801, VR233442, 5, Def can ,  22, 0.60, 228, 1.58
CV00801, VR233442, 6, MISSING ,  10, 0.65, 187, 3.41
CV00802, VR233443, 1, Def cant,   4, 0.29, 196, 3.32
CV00802, VR233443, 2, ProbCant,   4, 0.26, 196, 3.39
CV00802, VR233443, 3, Maybe   ,  17, 0.47, 210, 2.09
CV00802, VR233443, 4, Prob Can,  21, 0.52, 223, 1.67
CV00802, VR233443, 5, Def can ,  55, 0.65, 222, 0.96
CV00802, VR233443, 6, MISSING ,  10, 0.69, 185, 3.50
CV00803, VR233444, 1, Def cant,   9, 0.44, 202, 1.98
